Id;X  [mm];Y  [mm];Z  [mm];U(95)  [mm];U(95) X  [mm];U(95) Y  [mm];U(95) Z  [mm];Tilt  [deg];Q0 ;Q1 ;Q2 ;Q3 ;Image RMS  [�m];Target;Temperature  [�C];Pressure  [mBar];Humidity  [%];Time Stamp;OTG Applied;Delete;
36;1960,52839710461;824,605732285962;-513,003194916161;0;0;0;0;9,05005956652618;0,575771420289774;0,578595577142547;-0,409917271889425;-0,407040857771441;0,331864454823176;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,4936351776123;988,325988769531;32,5999984741211;'04.04.2024 11:51:11.376;False;;
37;2018,18187591434;857,923048328876;-512,592922677719;0;0;0;0;8,89655771333221;0,575820449411687;0,578578042109535;-0,409878977388667;-0,407034990047342;0,373622005506805;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,4936351776123;988,325988769531;32,5999984741211;'04.04.2024 11:51:16.611;False;;
38;2075,91647835977;891,415113188658;-512,240917103983;0;0;0;0;8,77331087542126;0,575760393850949;0,578583872717848;-0,409864315107866;-0,407126410718558;0,362641794392701;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,4936351776123;988,325988769531;32,5999984741211;'04.04.2024 11:51:21.852;False;;
39;2133,62643937448;924,75569634992;-511,880216959225;0;0;0;0;8,66304525756028;0,575781683304822;0,578532147562685;-0,409916471748419;-0,407117297098147;0,34859197543042;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,4936351776123;988,325988769531;32,5999984741211;'04.04.2024 11:51:27.124;False;;
40;2191,36789063455;958,086167705028;-511,539267399883;0;0;0;0;8,56575717926326;0,575814993096013;0,57851613765894;-0,409939130844154;-0,407070118280328;0,325129214788298;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,4936351776123;988,325988769531;32,5999984741211;'04.04.2024 11:51:32.434;False;;
41;2249,13698415615;991,500707934758;-511,199628479609;0;0;0;0;8,48313445196893;0,575807478326719;0,578481511259798;-0,40995504132656;-0,407113931381061;0,329522813235284;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,4936351776123;988,325988769531;32,5999984741211;'04.04.2024 11:51:37.758;False;;
42;1936,21481945984;733,629540776002;-513,521092686217;0;0;0;0;8,70039672071406;0,57574580560901;0,578722759433501;-0,409758717425082;-0,407055928014147;0,347421283777628;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,4936351776123;988,325988769531;32,5999984741211;'04.04.2024 11:52:00.074;False;;
43;1993,86663593242;766,921500656857;-513,101542234133;0;0;0;0;8,48503659071993;0,575757521736398;0,578620549018093;-0,409852125080303;-0,407090618886166;0,311053424818746;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,4936351776123;988,325988769531;32,5999984741211;'04.04.2024 11:52:05.470;False;;
44;2051,61809485529;800,13570829428;-512,699154480782;0;0;0;0;8,29748703660038;0,575809867017893;0,578602907200658;-0,409894077216767;-0,406999408213819;0,341415928146842;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,4936351776123;988,325988769531;32,5999984741211;'04.04.2024 11:52:10.872;False;;
45;2109,3566895045;833,553957746061;-512,349340402528;0;0;0;0;8,13181207037615;0,575797190241204;0,578544205346019;-0,409927563281444;-0,407067059626563;0,360060646501609;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,4936351776123;988,325988769531;32,5999984741211;'04.04.2024 11:52:16.306;False;;
